date,item_cnt_day
2013-01-06,235.0
2013-01-13,158.0
2013-01-20,141.0
2013-01-27,129.0
2013-02-03,113.0
2013-02-10,96.0
2013-02-17,87.0
2013-02-24,118.0
2013-03-03,81.0
2013-03-10,61.0
2013-03-17,43.0
2013-03-24,54.0
2013-03-31,59.0
2013-04-07,42.0
2013-04-14,54.0
2013-04-21,56.0
2013-04-28,55.0
2013-05-05,55.0
2013-05-12,65.0
2013-05-19,57.0
2013-05-26,49.0
2013-06-02,58.0
2013-06-09,55.0
2013-06-16,42.0
2013-06-23,52.0
2013-06-30,31.0
2013-07-07,42.0
2013-07-14,49.0
2013-07-21,48.0
2013-07-28,65.0
2013-08-04,36.0
2013-08-11,31.0
2013-08-18,45.0
2013-08-25,60.0
2013-09-01,33.0
2013-09-08,37.0
2013-09-15,36.0
2013-09-22,41.0
2013-09-29,35.0
2013-10-06,64.0
2013-10-13,28.0
2013-10-20,39.0
2013-10-27,18.0
2013-11-03,51.0
2013-11-10,18.0
2013-11-17,23.0
2013-11-24,10.0
2013-12-01,16.0
2013-12-08,23.0
2013-12-15,49.0
2013-12-22,63.0
2013-12-29,83.0
2014-01-05,99.0
2014-01-12,68.0
2014-01-19,39.0
2014-01-26,37.0
2014-02-02,36.0
2014-02-09,32.0
2014-02-16,49.0
2014-02-23,53.0
2014-03-02,63.0
2014-03-09,49.0
2014-03-16,48.0
2014-03-23,56.0
2014-03-30,49.0
2014-04-06,49.0
2014-04-13,41.0
2014-04-20,42.0
2014-04-27,33.0
2014-05-04,57.0
2014-05-11,44.0
2014-05-18,42.0
2014-05-25,32.0
2014-06-01,40.0
2014-06-08,24.0
2014-06-15,47.0
2014-06-22,39.0
2014-06-29,33.0
2014-07-06,29.0
2014-07-13,46.0
2014-07-20,23.0
2014-07-27,33.0
2014-08-03,38.0
2014-08-10,23.0
2014-08-17,42.0
2014-08-24,41.0
2014-08-31,34.0
2014-09-07,31.0
2014-09-14,34.0
2014-09-21,40.0
2014-09-28,18.0
2014-10-05,100.0
2014-10-12,64.0
2014-10-19,49.0
2014-10-26,64.0
2014-11-02,52.0
2014-11-09,80.0
2014-11-16,74.0
2014-11-23,48.0
2014-11-30,49.0
2014-12-07,32.0
2014-12-14,48.0
2014-12-21,61.0
2014-12-28,68.0
2015-01-04,92.0
2015-01-11,62.0
2015-01-18,44.0
2015-01-25,49.0
2015-02-01,37.0
2015-02-08,47.0
2015-02-15,45.0
2015-02-22,66.0
2015-03-01,57.0
2015-03-08,59.0
2015-03-15,52.0
2015-03-22,55.0
2015-03-29,49.0
2015-04-05,57.0
2015-04-12,58.0
2015-04-19,52.0
2015-04-26,42.0
2015-05-03,44.0
2015-05-10,50.0
2015-05-17,48.0
2015-05-24,65.0
2015-05-31,42.0
2015-06-07,63.0
2015-06-14,25.0
2015-06-21,32.0
2015-06-28,45.0
2015-07-05,43.0
2015-07-12,39.0
2015-07-19,49.0
2015-07-26,48.0
2015-08-02,45.0
2015-08-09,47.0
2015-08-16,80.0
2015-08-23,65.0
2015-08-30,57.0
2015-09-06,40.0
2015-09-13,32.0
2015-09-20,24.0
2015-09-27,32.0
2015-10-04,32.0
2015-10-11,36.0
2015-10-18,22.0
2015-10-25,28.0
2015-11-01,21.0
